Key	Bestellnummer Reichelt	Preis
C-EU025-024X044:100nF	501064 - 62	0.14	Z5U-2,5 100N	0.06
PORT:	742656 - 62	1.00	WSL 10G	0.07
LED3MM:	LED 3MM 2MA GN	0.09
R-EU_0207/7:1K	1/4W 1,0K	0.10
LED3MM:grün	LED 3MM 2MA GN	0.09
L298	L 298	2,70
SK459	V PR32/50,8-MC	1,50
ML10:	WSL 10G	0,07
R-EU_0207/10:10k	METALL 10,0K	0,08
RKH208-8:0,22	5W AXIAL 0,22	0,29
C-EUC1206:100n	NPO-G1206 100N	0.09
CPOL-EUSMCA:0,1u	SMD TAN. 0,1/35	0.30
R-EU_M1206:1k	SMD 1/4W 1,0k	0.1
PN87520:	USB AW	0.20
M09HPS:	D-SUB ST 09EU	0.27
MA07-1:	SL 1X36G 2,54	0.17
CPOL-EUSMCD:4,7u	SMD TAN 4,7/35	0.76
C-EUC1206:10n	NPO-G1206 10N	0.05
MA12-1:	SL 1X35G 2,54	0.17
