Key	Pollin BestNr	Preis
C-EU025-024X044:100nF	Z5U-2,5 100N	0.06	Z5U-2,5 100N	0.06
PORT:	742656 - 62	1.00	WSL 10G	0.07
LED3MM:	LED 3MM 2MA GN	0,09
R-EU_0207/7:1K	1/4W 1,0K	0,10
LED3MM:grün	LED 3MM 2MA GN	0.09
ML10:	WSL 10G	0,07
C-EU025-030X050:100nF	Z5U-2,5 100N	0,06
CPOL-EUE2.5-7:10uF	RAD 10/35	0,04
CPOL-EUE2.5-5:1uF	RAD 1/63	0.04
7805T	µA 7805	0,17
TINY15LS	ATTINY 15L SO8	1.25
LED3MM:rot	LED 3MM 2MA RT	0.09
R-EU_0207/10:150	1/4W 150	0.10
W237-02P:	AKL 055-02	0.14
AK550/2	AKL 055-02	0.14
AK500/2:	AKL 055-02	0.14
1N4148	1N 4148	0,02
CPOL-EUE2.5-7:1uF	RAD 1/63	0,04
R-EU_0207/7:47k	1/4W 47K	0,1
ZERO	Taster 9303	0,13
255SB:Power	T 217	0,12
LM311N	LM 311 DIP	0,12
35701331	SIL 7271-L 5V	1,05
MAX202CPE	MAX 202 CPE	1,25
MEGA8-P	ATMEGA 8-16 DIP	2,75
R-EU_0207/7:1k	1/4W 1k	0,10
CPOL-EUE2.5-5:10uF	rad 10/35	0,04
R-EU_0207/7:100k	1/4W 100k	0,10
CPOL-EUE2.5-4V:0,1uF	Tantal 0,1/35	0,09
C-EU025-030X050:100pF	NPO-2,5 100p	0,08
C-EU025-030X050:680pF	NPO-2,5 680p	0,09
AB9V	CLIP 9V	0,09
FE15-1:	SPL 20	0,26
JP2QE:	Jumper	0,0
L-EU0207/10:68uH	SMCC 68u	0,19
F09HP:	D-SUB BU 09EU	0,27
TPSQPAD1-20Y	SPL 20	0,26
CRYTALHC18U-V:	16-hc49u-s	0,44
C-EU025-024X044:22p	Kerko 22p	0,04
CRYTALHC49S:16MHz	16-HC49U-S	0,44
CRYTALHC49U-V:7.3728	7,3728-hc49u-s	0,49
R-EU_0207/7:10K	1/4W 10k	0,10
TRIM_EU-S64Y:10K	rt 10-s 10k	0,13
C-EU025-024X044:22pF	kerko 22p	0,04
CPOL-EUE2.5-5:1µF	rad 1/63	0,04
CPOL-EUE2-5:10µF	rad 10/35	0,04
CPOL-EUE2.5-7:100µF	rad 100/16	0,04
100µH	misc 100u	0,36
R-EU_0207/7:4,7K	1/4W 4,7k	0,10
MEGA16-P	ATMEGA 16-16 DIP	4,15
78XXL:LM2940 CT5	LM 2940 CT5	0,48
MAX232	MAX 232 EEPE	2,90
24C64P	ST 24C64 BN6	0,62
PINHD-1X4:	BL 1x10G 2,54	0,68
PORTL:PORTC	WL 2x10G 2,00	0,07
PORTL:PORTA	WL 2x10G 2,00	0,07
PORT:PORTD	WL 2x10G 2,00	0,07
PORT:PORTB	WL 2x10G 2,00	0,07
AVR-ISPL	WL 2x10G 2,00	0m07
I2CL	WL 2x10G 2,00	0,07
10-XX:	taster 3301B	0,05
RB1A:	B 80C1500RUND	0,14
L298	100912	2,70
SK459	430078	1,95
BYT56T	140358	0,15
